MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538010471,2024-12-31T01:14:00,24.77497,-94.3602,1.6,316.1,266,STI MARSHALL,IMO9833565,V7A6085,80.0,0.0,183.0,32.0,8.0,80.0,A
367002470,2024-12-31T01:18:17,29.77986,-92.17757,0.0,25.3,511,BOBBIE,,WDL2881,31.0,12.0,20.0,7.0,2.8,1.0,A
338422015,2024-12-31T00:36:39,33.92966,-77.9969,0.1,68.9,511,ENDLESS SUMMER,IMO0000000,,37.0,,10.0,5.0,,,B
366233570,2024-12-31T02:33:55,43.34574,-124.32058,0.0,357.4,511,BERNADETTE,IMO7051656,WBB6685,30.0,,19.0,6.0,,,B
316004831,2024-12-31T00:31:38,49.27318,-123.13788,0.0,360.0,511,SHODAN,IMO0000000,CZ8980,30.0,,17.0,4.0,,,B
367498270,2024-12-31T00:56:02,29.60142,-81.12079,6.9,172.6,511,LIPARI,IMO0000000,WDF8759,36.0,,12.0,7.0,,,B
368017750,2024-12-31T02:04:55,41.69662,-87.93769,0.1,2.1,511,KAMRYN OLIVIA,,WDJ8571,31.0,15.0,18.0,8.0,2.8,31.0,A
367738490,2024-12-31T02:39:42,42.28086,-83.12673,0.0,291.0,511,ONTARIO,IMO8980878,WDI8424,31.0,0.0,33.0,9.0,5.5,52.0,A
368183750,2024-12-31T00:08:35,47.62922,-122.38776,0.0,204.6,511,IN THE RED,IMO0000000,WDL9953,37.0,,8.0,3.0,,,B
369093000,2024-12-31T03:06:53,29.10171,-90.21977,6.6,39.3,41,KOLT LEVI,IMO9207900,WDI7784,38.0,0.0,70.0,15.0,4.0,38.0,A
367082860,2024-12-31T03:03:54,32.08187,-81.06454,0.0,173.5,264,BULLDOG,IMO9365324,WDC8178,52.0,0.0,29.0,12.0,5.0,52.0,A
304598000,2024-12-31T00:50:37,26.0811,-80.11616,0.0,260.4,90,CARIBE LEGEND,IMO9061289,V2ST,70.0,5.0,100.0,18.0,5.0,70.0,A
367153950,2024-12-31T00:21:05,29.13112,-90.20199,0.0,194.7,341,K-MARINE XXII,IMO9418092,WDD5117,90.0,5.0,66.0,13.0,4.0,90.0,A
367610530,2024-12-31T00:29:11,25.78827,-80.16599,6.7,110.2,511,MICHAEL B MELI,,WDH3752,60.0,0.0,22.0,6.0,2.0,60.0,A
567614000,2024-12-31T00:41:15,23.75365,-157.14134,21.9,255.2,253,ZIM BANGKOK,IMO9936525,HSB8544,70.0,0.0,333.0,48.0,10.1,71.0,A
209756000,2024-12-31T03:33:37,48.47232,-123.20922,15.2,175.9,174,PANAGIA STENION,IMO9592020,5BSR3,70.0,0.0,225.0,32.0,13.4,70.0,A
368146000,2024-12-31T02:09:39,33.7344,-118.24882,0.0,251.1,251,CALEDONIA,,WDF5198,60.0,0.0,25.0,5.0,12.4,70.0,A
338438802,2024-12-31T00:45:41,27.7124,-82.68291,0.0,360.0,511,GALWAY GIRL,IMO0000000,,37.0,,41.0,10.0,,,B
367138490,2024-12-31T00:10:59,29.45041,-85.71939,13.8,134.6,138,ANNA M,IMO9406403,WDD3952,60.0,3.0,44.0,8.0,2.2,60.0,A
366926050,2024-12-31T02:30:20,38.97913,-76.33271,0.1,146.1,511,SPERRY STAR III,,WDB6535,90.0,0.0,23.0,6.0,2.0,90.0,A
367305890,2024-12-31T03:17:26,28.87012,-90.67228,20.0,243.4,511,LADY LAB,IMO9370680,WDD9017,69.0,0.0,49.0,9.0,1.4,60.0,A
368142930,2024-12-31T01:16:48,29.81093,-93.95784,2.7,48.2,511,FRED JOSEPH,,WDL5635,60.0,15.0,18.0,4.0,0.0,0.0,A
368836000,2024-12-31T00:01:45,45.54776,-122.69828,0.0,0.0,511,BOB HOPE,IMO9085297,NHNM,70.0,5.0,289.0,32.0,9.0,70.0,A
235032178,2024-12-31T01:32:02,34.17305,-119.22832,0.0,106.3,511,AMANDLA,IMO0000000,MLBG4,36.0,,14.0,3.0,,,B
316050863,2024-12-31T01:07:27,49.29231,-122.88204,0.0,360.0,511,NO WORRIES,IMO0000000,,37.0,,0.0,0.0,,,B
367434000,2024-12-31T03:25:07,29.54419,-95.01929,0.0,2.3,511,LUCKY DANCER,IMO0000000,WDK8635,36.0,,14.0,8.0,,,B
368139280,2024-12-31T00:13:13,41.90763,-74.00387,0.1,227.4,511,MACKENZIE ROSE,IMO8968765,WDL5245,52.0,0.0,32.0,12.0,4.9,52.0,A
338102534,2024-12-31T01:33:45,36.96596,-122.00107,0.0,0.0,511,OVERBOARD,,,37.0,,,,,,B
368269180,2024-12-31T01:39:13,48.286,-122.63655,0.0,360.0,511,ISLAND TIDES,IMO0000000,WDN3181,37.0,,8.0,4.0,,,B
366999472,2024-12-31T00:23:35,41.35617,-70.78589,0.7,329.9,511,CG47322,,,90.0,0.0,14.0,,1.4,51.0,A
367551680,2024-12-31T00:59:42,29.72606,-95.26434,0.0,357.3,69,SAMMY TATE,,WDG5920,31.0,12.0,113.0,18.0,3.1,0.0,A
368097560,2024-12-31T02:50:59,30.07722,-94.06781,2.0,89.3,97,DEAF SMITH,IMO1222394,WDK8804,52.0,12.0,115.0,34.0,2.5,57.0,A
338098765,2024-12-31T03:04:37,48.75632,-122.50712,0.0,9.8,511,PROVIDENCE,IMO0000000,,37.0,,16.0,6.0,,,B
367518270,2024-12-31T01:41:11,39.73593,-75.5406,0.0,360.0,511,WILMINGTON FIREBOAT7,,WDG2694,51.0,5.0,21.0,7.0,0.0,51.0,A
338328935,2024-12-31T02:56:52,33.46001,-117.70089,0.0,360.0,511,IT'S ABOW'T TIME,IMO0000000,,37.0,,12.0,4.0,,,B
366816410,2024-12-31T02:14:24,29.79535,-93.32532,0.0,360.0,511,BEAUREGARD,IMO8967498,WDA5093,31.0,0.0,39.0,6.0,3.8,31.0,A
366980180,2024-12-31T00:48:42,47.5476,-122.33923,0.0,354.5,159,OCEAN TITAN,IMO8987931,WDB9647,32.0,0.0,40.0,12.0,0.0,32.0,A
368049430,2024-12-31T00:24:39,25.63429,-80.29235,0.0,360.0,511,VINCAM,IMO0000000,WDK3862,37.0,,20.0,5.0,,,B
368189390,2024-12-31T00:46:44,48.61015,-123.15226,0.0,360.0,511,GREY GOOSE,IMO0000000,WDM2572,36.0,,12.0,4.0,,,B
338401634,2024-12-31T03:32:23,32.21518,-80.77633,0.0,360.0,511,PUFFIN,IMO0000000,1113880,37.0,,11.0,1.0,,,B
338432955,2024-12-31T03:16:33,37.55984,-122.26973,0.3,360.0,511,RESCUE JET SKI 28D,IMO0000000,WDL9654,51.0,,0.0,0.0,,,B
367411370,2024-12-31T02:24:05,29.14012,-90.2132,0.0,214.2,511,STARFLEET VIKING,IMO9585431,WDL2180,70.0,0.0,68.0,13.0,7.0,70.0,A
368285040,2024-12-31T01:09:34,29.61244,-90.70859,0.0,311.2,303,JACK CENAC,,WDN4878,52.0,15.0,18.0,9.0,0.0,52.0,A
367170010,2024-12-31T01:31:39,28.48445,-96.78057,0.1,145.0,54,ST JUDE THADDEUS,IMO101194292,WDD6229,31.0,12.0,172.0,18.0,3.1,57.0,A
338474843,2024-12-31T00:15:12,26.34622,-80.07246,0.1,221.6,511,MY TOOTISE,IMO0000000,WDL8907,37.0,,18.0,5.0,,,B
538071232,2024-12-31T01:10:15,26.89439,-80.07197,0.0,275.0,511,ASTURIAS,,V7OQ8,37.0,5.0,20.0,6.0,2.0,37.0,A
367728730,2024-12-31T00:40:28,29.93449,-89.98725,0.0,154.3,299,CONCHO,,WDI7438,31.0,12.0,89.0,12.0,2.9,57.0,A
319848000,2024-12-31T00:58:47,25.31244,-80.28102,0.0,152.0,511,SERENDIPITY II,,ZCIP,37.0,5.0,40.0,8.0,2.0,37.0,A
319720000,2024-12-31T03:24:06,32.71008,-117.23372,0.0,238.9,511,STARDUST,IMO1011496,ZHBO8,37.0,1.0,29.0,6.0,2.6,37.0,A
338401208,2024-12-31T01:43:33,47.33853,-122.58847,0.0,7.5,511,HARLOW,IMO0000000,,36.0,,13.0,4.0,,,B
338392582,2024-12-31T00:04:29,34.71609,-76.66517,0.0,65.2,511,OARS UP,,,37.0,,12.0,5.0,,,B
338099677,2024-12-31T01:57:52,30.43579,-88.84704,0.0,122.7,511,PATRIYACHTIK,IMO0000000,,37.0,,12.0,0.0,,,B
367474890,2024-12-31T01:09:28,29.85937,-90.06501,0.0,242.1,511,MASTER MYLES,,WDF6498,31.0,0.0,61.0,10.0,1.6,52.0,A
368051060,2024-12-31T02:02:15,42.61507,-73.76072,0.0,337.0,18,KRISTY ANN,IMO9862774,WDK4022,57.0,5.0,123.0,24.0,5.1,57.0,A
367371820,2024-12-31T02:20:17,29.03789,-95.04087,4.2,23.0,24,ANACOSTIA,IMO9544217,WDE5804,31.0,0.0,29.0,11.0,4.3,31.0,A
368324580,2024-12-31T00:39:01,30.06941,-93.3437,0.0,184.7,40,DODIE SIBEN,,WDN9177,52.0,12.0,28.0,,3.4,31.0,A
